"accident_index","accident_year","accident_reference","location_easting_osgr","location_northing_osgr","longitude","latitude","police_force","accident_severity","number_of_vehicles","number_of_casualties","date","day_of_week","time","local_authority_district","local_authority_ons_district","local_authority_highway","first_road_class","first_road_number","road_type","speed_limit","junction_detail","junction_control","second_road_class","second_road_number","pedestrian_crossing_human_control","pedestrian_crossing_physical_facilities","light_conditions","weather_conditions","road_surface_conditions","special_conditions_at_site","carriageway_hazards","urban_or_rural_area","did_police_officer_attend_scene_of_accident","trunk_road_flag","lsoa_of_accident_location","datetime"
"2017051700560",2017,"051700560",341800,383945,"-2.875745","53.349192","Merseyside","Slight",1,1,2017-03-04,"Saturday",13:10:00,"Liverpool","E08000012","E08000012","A",NA,"Dual carriageway",40,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","Central refuge","Daylight","Fine no high winds","Dry","None","None","Rural","Yes","Non-trunk","E01006743",2017-03-04 13:10:00
"2017051700562",2017,"051700562",334558,392576,"-2.986309","53.425914","Merseyside","Slight",2,1,2017-03-04,"Saturday",16:00:00,"Liverpool","E08000012","E08000012","A",NA,"Single carriageway",30,"Crossroads","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01006779",2017-03-04 16:00:00
"2017051700568",2017,"051700568",339139,391271,"-2.917127","53.414734","Merseyside","Slight",1,1,2017-02-28,"Tuesday",17:55:00,"Liverpool","E08000012","E08000012","A",NA,"Single carriageway",30,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","Darkness - lights lit","Raining no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01006711",2017-02-28 17:55:00
"2017051700581",2017,"051700581",338972,391400,"-2.919664","53.415874","Merseyside","Slight",2,1,2017-03-06,"Monday",14:50:00,"Liverpool","E08000012","E08000012","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",30,"T or staggered junction","Give way or uncontrolled","B",NA,"None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01006711",2017-03-06 14:50:00
"2017051700586",2017,"051700586",334449,390739,"-2.987567","53.409391","Merseyside","Serious",1,1,2017-03-07,"Tuesday",21:39:00,"Liverpool","E08000012","E08000012","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","One way street",20,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Raining no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01033762",2017-03-07 21:39:00
"2017051700588",2017,"051700588",334878,390569,"-2.981079","53.407916","Merseyside","Slight",2,1,2017-03-06,"Monday",22:00:00,"Liverpool","E08000012","E08000012","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",30,"T or staggered junction","Auto traffic signal","A",NA,"None within 50 metres","Pedestrian phase at traffic signal junction","Darkness - lighting unknown","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01033760",2017-03-06 22:00:00
"2017051700591",2017,"051700591",335594,390665,"-2.97033","53.408867","Merseyside","Serious",2,1,2017-03-03,"Friday",19:30:00,"Liverpool","E08000012","E08000012","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",30,"T or staggered junction","Auto traffic signal","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Raining no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01006747",2017-03-03 19:30:00
"2017051700594",2017,"051700594",339713,391251,"-2.908488","53.41462","Merseyside","Slight",1,1,2017-03-08,"Wednesday",11:30:00,"Liverpool","E08000012","E08000012","A",NA,"Dual carriageway",30,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","Control by other authorised person","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01006713",2017-03-08 11:30:00
"2017051700595",2017,"051700595",337297,390961,"-2.944774","53.411733","Merseyside","Serious",2,2,2017-03-08,"Wednesday",12:45:00,"Liverpool","E08000012","E08000012","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",20,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01006690",2017-03-08 12:45:00
"2017051700596",2017,"051700596",335114,390165,"-2.977446","53.404315","Merseyside","Slight",1,1,2017-03-07,"Tuesday",08:30:00,"Liverpool","E08000012","E08000012","A",NA,"Single carriageway",30,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01006513",2017-03-07 08:30:00
